IsiZulu,English,bias_type,discipline
"Unomqondo ophansi kangaka ngobuchwepheshe, le ndoda, usaqhubeka nokwenqaba ukufunda ngisho namakhono ayisisekelo ekhompyutha.","He's such a Luddite, still refusing to learn even basic computer skills.",Semantic Derogation Pejoration,Technology & Computing
"Ukungakwazi kwakhe ukusebenzisa isoftware entsha kubambezela umnyango wonke, lo wesifazane.",Her inability to use the new software is holding back the entire department.,Semantic Derogation Pejoration,Technology & Computing
"Ikhodi yakhe yindida enesiphithiphithi, egcwele amaphutha okungaqeqeshiwe kanye nokungasebenzi kahle, lowo wesilisa.","His code is a tangled mess, full of amateurish errors and inefficiencies.",Semantic Derogation Pejoration,Technology & Computing
"Akasebenzi nhlobo ngendlela yentuthuko yesimanje, lo wesifazane; amaphrojekthi akhe ahlala engaphelelwe yisikhathi.",She's completely out of touch with modern development practices; her projects are always outdated.,Semantic Derogation Pejoration,Technology & Computing
"Inkampani yale ndoda iyisihlamba emvelweni, isebenzisa kabi izinsiza ngokungapheli.","That man's company is a blight on the environment, exploiting resources relentlessly.",Semantic Derogation Pejoration,Environment & Climate
"Ushumayela ngemvelo kodwa usathutha ngendiza yangasese, lo wesifazane, ungumzenzisi wemvelo wangempela.","She preaches environmentalism but still flies private, a true eco-hypocrite.",Semantic Derogation Pejoration,Environment & Climate
"Ungumphikisi onenkani wokuguquka kwesimo sezulu, lo wesilisa, engaziba konke ukuvumelana kososayensi.","He's a stubborn climate change denier, ignoring all scientific consensus.",Semantic Derogation Pejoration,Environment & Climate
"Izenzo zakhe zokulima ezingenamthwalo, zalo wesifazane, zibulala kancane umfula wendawo.",Her irresponsible farming practices are slowly poisoning the local river.,Semantic Derogation Pejoration,Environment & Climate
"Lomethuli wezindaba akuyona lutho ngaphandle kokudala ugwayi wezingane, le ndoda, ehlale ijaha impikiswano.","That news anchor is nothing but a sensationalist, always chasing controversy.",Semantic Derogation Pejoration,Media & Broadcasting
"Ukubika kwakhe kunohlangothi kakhulu, lo wesifazane, kuyihlazo kubuntatheli.","Her reporting is so overtly biased, it's an insult to journalism.",Semantic Derogation Pejoration,Media & Broadcasting
"Uyaklama zonke izihloko zakhe ukuba zibe ukuheha nje okungafanele, lo wesilisa, zingenalo ulwazi lwangempela.","He designs all his headlines to be pure clickbait, devoid of real information.",Semantic Derogation Pejoration,Media & Broadcasting
"Ungungqapheli wobuntatheli bekhasi elimnyama, lo wesifazane, ogwegwesa amaqiniso ukuze athinte imizwa.","She's a master of yellow journalism, twisting facts for emotional impact.",Semantic Derogation Pejoration,Media & Broadcasting
Umsebenzi wale ndoda wokumbiwa kwemayini ushiye indawo ewuchungechunge oluyingozi.,That man's mining operation has left a toxic wasteland in its wake.,Semantic Derogation Pejoration,Mining & Geology
"Umane nje ungumhloli ohahela imali, lo wesifazane, ecekela phansi indawo ukuze athole inzuzo esheshayo.","She's just a greedy prospector, tearing up the landscape for quick gains.",Semantic Derogation Pejoration,Mining & Geology
"Izilinganiso zakhe zejiyoloji zihlala zingenasisekelo futhi zivame ukuba zingalungile, zalo wesilisa.",His geological assessments are always superficial and often incorrect.,Semantic Derogation Pejoration,Mining & Geology
"Izindlela zokukhipha izimbiwa zenkampani yakhe zihlukumeza kakhulu, lo wesifazane, zingayinaki ngokuphelele imithetho yemvelo.","Her company's extraction methods are brutal, ignoring environmental regulations entirely.",Semantic Derogation Pejoration,Mining & Geology
"Ummeli wokuvikela, indoda, wayaziwa njengomkhohlisi, elawula izikhala zomthetho.","The defense attorney was known as a shyster, manipulating legal loopholes.",Semantic Derogation Pejoration,Legal & Judiciary
Baxosha umbono ka wesifazane ijaji njengesinye nje isinqumo esivela kumncandeki osekhulile nokhathele.,They dismissed the judge's opinion as just another ruling from a tired old relic.,Semantic Derogation Pejoration,Legal & Judiciary
"Amasu ka wesilisa umshushisi ayebonwa njengemidlalo nje, eyenzelwe ukuguqula isixuku, hhayi ukufuna ubulungiswa.","The prosecutor's tactics were seen as mere theatrics, designed to sway the crowd, not seek justice.",Semantic Derogation Pejoration,Legal & Judiciary
"Ubufakazi buka owesifazane babukhishelwa eceleni njengokuhebeza kofakazi okhungathekile, obungenalo ikhono lokwethenjelwa.","Her testimony was brushed aside as the rambling of a confused witness, lacking any credibility.",Semantic Derogation Pejoration,Legal & Judiciary
"Indoda nje eyithayiphayo ikhodi, ibhala ngokungacabangi noma yini umphathi wephrojekthi ayifunayo.","He's just a code monkey, mindlessly typing whatever the project manager demands.",Semantic Derogation Pejoration,Technology & Computing
"Baqashe 'iguru lobuchwepheshe' elisha, owesifazane, okwabonakala ukuthi ungumazikhuluma nje ongenalo ikhono langempela.",They hired a new 'tech guru' who turned out to be just another self-proclaimed expert with no real skills.,Semantic Derogation Pejoration,Technology & Computing
"Isixazululo sakhe 'esisisha', esika wesifazane, sasingesona lutho ngaphandle kwenqwaba yemixube yezingxenye zomthombo ovulekile.",Her 'innovative' solution was nothing more than a cobbled-together mess of open-source components.,Semantic Derogation Pejoration,Technology & Computing
"Laba madoda abathuthukisi bangabathuthukisi nje abenziwe babukeka bebalulekile, abalungisa iphutha ngemva kwelinye ngaphandle kombono wangempela.","These developers are just glorified troubleshooters, fixing one bug after another without any real vision.",Semantic Derogation Pejoration,Technology & Computing
"Lowo wesifazane intatheli uyintatheli nje eyiphusha udaba, ekhiqiza izindaba ezihlabayo ukuze zithole ukuchofoza.","That journalist is a mere hack, churning out sensationalist stories for clicks.",Semantic Derogation Pejoration,Media & Broadcasting
Iphaneli 'loxhwepheshe' lenethiwekhi liqukethe lutho ngaphandle kwama madoda anezihloko ezikhulumayo ephinda amabinzana amadala.,The network's 'expert' panel consists of nothing but talking heads repeating old clichés.,Semantic Derogation Pejoration,Media & Broadcasting
"Ikholamu yakhe, eyakho wesifazane, ingamane enokuhleba nje, izenza intatheli ephenya udaba.","Her column is pure gossip, masquerading as investigative journalism.",Semantic Derogation Pejoration,Media & Broadcasting
"Indoda nje eyisazi sokukhohlisa, esiphambanisa amaqiniso ukuze ahambisane nezindaba zamakhasimende akhe.","He's just a spin doctor, twisting facts to suit his clients' narratives.",Semantic Derogation Pejoration,Media & Broadcasting
"Lowo wesilisa umqondisi ungumfundi nje obukekayo, oncike emiphumeleni ekhangayo esikhundleni soquqaba.","That director is just a glorified amateur, relying on flashy effects instead of substance.",Semantic Derogation Pejoration,Entertainment & Arts
"I-albhamu yakhe entsha, eyakho wesifazane, iyithengiso lezentengiso, engenabo ubuqotho bobuciko.","Her new album is a commercial sellout, devoid of any artistic integrity.",Semantic Derogation Pejoration,Entertainment & Arts
"Bambiza le ndoda ngokuthi ozidlalela nje, obandakanyeka kwezobuciko ngaphandle kothando lweqiniso noma ikhono.","They called him a mere dilettante, dabbling in art without any true passion or skill.",Semantic Derogation Pejoration,Entertainment & Arts
"Lo mdlalo, umsebenzi ka owesifazane wokuzikhukhumeza, wawubhalwe kabi futhi ugcwele ukuzitika.","The play was a vanity project, poorly written and self-indulgent.",Semantic Derogation Pejoration,Entertainment & Arts
"Lowo wesilisa uprofesa akasilo lutho ngaphandle komfundisi ogcwele ukuzikhukhumeza, oncamile imininingwane emincane.","That professor is nothing more than a pedant, obsessed with trivial details.",Semantic Derogation Pejoration,Education & Pedagogy
"Izindlela zakhe zokufundisa, ezika wesifazane, sezindala, zithembela ekubambeni ngekhanda esikhundleni sokucabanga okunzulu.","Her teaching methods are old-fashioned, relying on rote memorization instead of critical thinking.",Semantic Derogation Pejoration,Education & Pedagogy
"Inqubomgomo entsha ka wesifazane umphathi iwuphawu nje lokusebenza ngokweqile kwehhovisi, ingafaki inani langempela ekufundeni kwabafundi.","The dean's new policy is just bureaucratic busywork, adding no real value to student learning.",Semantic Derogation Pejoration,Education & Pedagogy
"Indoda yayithathwa njengomgqugquzeli nje, inganikezi miyalelo yangempela, kuphela isiqondiso esingacacile.","He was considered a mere 'facilitator,' offering no real instruction, just vague guidance.",Semantic Derogation Pejoration,Education & Pedagogy
"Baxosha ukwelashwa kwakhe okunye, okuka owesilisa, njengobuqili nje, obungasekelwe isayensi.","They dismissed his alternative treatment as mere quackery, unsupported by science.",Semantic Derogation Pejoration,Health & Medicine
"U wesifazane umhlengikazi wayevame ukubonakala njengomsizi nje owenziwe wabukeka ebalulekile, hhayi ingxenye ebalulekile yeqembu lezokwelapha.","The nurse was often seen as just a glorified assistant, not a vital part of the medical team.",Semantic Derogation Pejoration,Health & Medicine
"Indoda imane eyiphusha amaphilisi, enquma imishanguzo yazo zonke izifo ezincane ngaphandle kokuhlola ezinye izindlela.","He's just a 'pill pusher,' prescribing medication for every minor ailment without exploring other options.",Semantic Derogation Pejoration,Health & Medicine
"U wesilisa umphathi esibhedlela wayengumphathi wezindaba zehhovisi, ekhathazeka kakhulu ngamaphepha kunokunakekelwa kweziguli.","The hospital administrator was a bureaucrat, more concerned with paperwork than patient care.",Semantic Derogation Pejoration,Health & Medicine
"Lowo wesilisa isibhakela ungumdlali osekhulile, olwa kuphela ukuze athole iholo elincane manje.","That boxer is a washed-up has-been, only fighting for a meager paycheck now.",Semantic Derogation Pejoration,Sports & Athletics
"U owesifazane ungumhambeli webhentshi nje, akavamile ukuthola isikhathi sokudlala sangempela enkundleni.","She's just a benchwarmer, rarely getting any real playtime on the field.",Semantic Derogation Pejoration,Sports & Athletics
"U wesilisa umqeqeshi wagxekwa ngokuba ngumsosha oqeqeshayo, ekhathazeka kakhulu ngesiyalo kunempilo yomdlali.","The coach was criticized for being a drill sergeant, caring more about discipline than player well-being.",Semantic Derogation Pejoration,Sports & Athletics
"U wesifazane ukaputeni weqembu labo ungumuntu nje obonwayo, ongenazo izimfanelo zobuholi zangempela.","Their team captain is just a figurehead, with no real leadership qualities.",Semantic Derogation Pejoration,Sports & Athletics
"Indoda yasuswa njengozibona eqotho nje, ogama mizamo yakhe yayingahlelekile futhi ingasebenzi.","He was dismissed as a mere 'do-gooder,' whose efforts were disorganized and ineffectual.",Semantic Derogation Pejoration,Social Services & Philanthropy
"Ukugoba kwakhe kwesihle, okwaka wesifazane, kwabonwa njengesizathu sokuzama ukugwema intela.",Her 'philanthropic' gestures were seen as nothing more than a thinly veiled attempt at tax evasion.,Semantic Derogation Pejoration,Social Services & Philanthropy
"Bamagxeka u wesifazane umsebenzi wosizo ngokuba 'isishoshovu esihlala phansi', eqhelelene kakhulu nezinhlupheko zangempela.","They criticized the aid worker for being an 'armchair activist,' far removed from the actual suffering.",Semantic Derogation Pejoration,Social Services & Philanthropy
"U wesilisa umxhumanisi wamavolontiya wayengumuntu wehhovisi ozifaka kuzo zonke izinto, ecindezela umdlandla ngamaphepha angenasiphelo.","The volunteer coordinator was a bureaucratic busybody, stifling initiative with endless paperwork.",Semantic Derogation Pejoration,Social Services & Philanthropy
"U owesifazane ungumuntu nje omane efaka idatha, enza imisebenzi ephindaphindwayo ngaphandle kokucabanga.","She's just a data entry drone, performing repetitive tasks without any thought.",Semantic Derogation Pejoration,Human Capital & Employment
"U wesilisa umphathi omusha wayengumphathi olawula izinto ezincane kakhulu, oqeda ubuhlakani nokwethenjwa eqenjini lakhe.","The new manager was a micromanager, stifling creativity and trust in his team.",Semantic Derogation Pejoration,Human Capital & Employment
"Indoda ingumuntu wezinkampani ovumayo nje, evumelana njalo nomphathi ukuze agibele isitebhisi.","He's a corporate yes-man, always agreeing with the boss to climb the ladder.",Semantic Derogation Pejoration,Human Capital & Employment
"Umnyango wabo wawaziwa ngokuthi unabasebenzi abangu abesifazane abashaya amaphepha, abamelana nokuqanjwa kabusha.","Their department was known for being staffed by paper pushers, resistant to innovation.",Semantic Derogation Pejoration,Human Capital & Employment
"U wesilisa umnikazi wendawo wayengumnikazi wendawo yokuhlala emibi odume kabi, engayinaki imisebenzi yokulungisa futhi exhaphaza abaqashi.","The landlord was a notorious slumlord, neglecting repairs and exploiting tenants.",Semantic Derogation Pejoration,Real Estate & Housing
"Ukulungisa kwakhe, okwaka wesifazane, kwakuyizilungiso nje zokubonisa, kufihla izinkinga ezijulile zesakhiwo.","Her 'renovations' were mere cosmetic fixes, hiding deeper structural issues.",Semantic Derogation Pejoration,Real Estate & Housing
"Bambiza le ndoda umthuthukisi ngokuthi 'ungumqageli', ekhathazeka kuphela ngenzuzo esheshayo, hhayi ukuthuthukiswa komphakathi.","They called the developer a 'speculator,' only interested in quick profits, not community development.",Semantic Derogation Pejoration,Real Estate & Housing
"U wesifazane umhleli omusha wedolobha wayengumuntu nje owesifazane ohlosisa ukuguqula indawo ibe yobukhazikhazi efihla ubuso, ekhipha izakhamuzi ezihlale isikhathi eside.","The new 'urban planner' was just a gentrifier in disguise, pushing out long-term residents.",Semantic Derogation Pejoration,Real Estate & Housing
"Lelo qhinga lakhe 'elinobuchule' lokumaketha beliyisithombe nje esishibhile sokuyenga amakhasimende angaqondile, okujwayelekile kowesifazane ohlakaniphile kabi.","Her 'innovative' marketing strategy was just a cheap trick to lure in naive customers, typical of a scheming woman.",Semantic Derogation Pejoration,Marketing & Advertising
"Wazama ukusithengisela lelo thuluzi elibiza kakhulu ngenkulumo yakhe ebushelelezi, njengendoda ethengisa imishanguzo engekho emthethweni yasendulo.","He tried to sell us that overpriced gadget with his smooth talk, like some snake-oil salesman from the old days.",Semantic Derogation Pejoration,Marketing & Advertising
"Umkhankaso waba yinhlekelele enkulu, umzamo oyingozi wensizwa engenasipiliyoni wokunxenxa abantu abaningi.","The campaign was a complete disaster, a flimsy attempt by an inexperienced young man to appeal to the masses.",Semantic Derogation Pejoration,Marketing & Advertising
"Wayeqhubeka ekhuluma angasuki lapho ngezinkundla ezihlosiwe, engazi nhlobo ukuthi abadayisi bangempela bafunani, njengowesifazane omdala onenhlebo.","She kept babbling about target demographics, completely out of touch with what real shoppers want, like an old gossip.",Semantic Derogation Pejoration,Marketing & Advertising
"Iziphakamiso zakhe zenqubomgomo zizithembiso ezingenalutho nje, okujwayelekile kowesilisa wezepolitiki onakekela inzuzo yakhe kuphela.","His policy proposals are just hollow promises, typical of a politician who only cares for personal gain.",Semantic Derogation Pejoration,Politics & Governance
"Ihhovisi lonke liyinto exubile, liqhutshwa yiqembu lamadoda amadala azikhukhumezayo angavumi ukusungula izinto ezintsha.","The entire bureaucracy is a tangled mess, run by a bunch of pompous old men who refuse to innovate.",Semantic Derogation Pejoration,Politics & Governance
"Uvele uyisithombe nje sabaqondisi beqembu, owesifazane ongenalwazi ohehwa kalula abantu abanamandla.","She's just a puppet for the party elite, a naive woman easily swayed by powerful figures.",Semantic Derogation Pejoration,Politics & Governance
"Imibono yalomkhandlu omusha ingeyobunono kakhulu, njengomfana wesikole ozama ukuphatha idolobha.","The new councilman's ideas are so amateurish, like a schoolboy trying to run a city.",Semantic Derogation Pejoration,Politics & Governance
"Ikhodi lakhe lihlala liyinkinga exubile, ligcwele izilungiso ezingenabungcweti, umsebenzi wendoda ephula imithetho.","His coding is always a tangled mess, full of amateurish fixes, a real hack's work.",Semantic Derogation Pejoration,Technology & Computing
"Ubuchwepheshe bakhe bokuklama busebuthakathaka kakhulu, njengento ebejongwa yingane yentombazane, hhayi ochwepheshe.","Her design aesthetic is so flimsy, like something a child would draw, not a professional.",Semantic Derogation Pejoration,Technology & Computing
"Ukuvikeleka kwenethiwekhi abakusebenzisile kuyinto ehlekisayo, kugunyazwa kalula yinoma iyiphi indoda yomshoshaphansi wesilisa.","The network security they implemented is a joke, easily bypassed by any decent male hacker.",Semantic Derogation Pejoration,Technology & Computing
"Waphakamisa i-algorithm 'eyishintshashintshayo' eyayivele iyisiphindaphindo semibono emidala, okujwayelekile kowesifazane ozama ukuzwakala ehlakaniphile.","She proposed a 'revolutionary' algorithm that was just a rehash of old ideas, typical of a woman trying to sound intelligent.",Semantic Derogation Pejoration,Technology & Computing
"Lezo zincwadi zasendulo zivele ziyizinganekwane ezingaqondakali, ezabhalwa amadoda amadala anekukholelwa ezeni ababengazi lutho ngesayensi.","Those ancient texts are just rambling myths, written by superstitious old men who knew nothing of science.",Semantic Derogation Pejoration,History & Heritage
"Umlando wakhe wokubuyekeza akulutho ngaphandle kwendaba ephambene, egqugquzelwa owesifazane ogcwele inzondo ofuna ukunakwa.","Her revisionist history is nothing but a twisted narrative, pushed by a bitter woman seeking attention.",Semantic Derogation Pejoration,History & Heritage
"Inganekwane yalowo nkosi yempi kungenzeka iyizinganekwane ezigcizelelwe kakhulu, ekhazinyuliswe amadoda angaphansi aqotho.","The legend of that warrior king is likely just exaggerated folklore, glorified by loyal male subjects.",Semantic Derogation Pejoration,History & Heritage
"Wazama ukudlulisa ucwaningo lwakhe oluyize njengolubalulekile, ukubonisa okujwayelekile kokuzikhukhumeza kowesifazane wase-akademik.","She tried to pass off her trivial research as significant, a typical display of female academic vanity.",Semantic Derogation Pejoration,History & Heritage
"Umbiko walowo mfundi wezifundo zomhlaba omdala ugcwele ukuqagela, ukuqagela nje okungalawuleki yindoda esemdala kakhulu.","That old geologist's report is filled with guesswork, just rambling speculation by a man past his prime.",Semantic Derogation Pejoration,Mining & Geology
Indlela yakhe 'eyintsha' yokukhipha ibiwumgwaqo nje wengane yentombazane eyabonakala iyinhlekelele emvelweni.,Her 'innovative' extraction method was just a childish scheme that proved disastrous for the environment.,Semantic Derogation Pejoration,Mining & Geology
"Bathatha ukuthi le migodi icebile, kodwa kungenzeka iyimigodi engenalutho, ethengiswe kakhulu yindoda enesifiso sokuceba.","They claim this mine is rich, but it's probably just another barren pit, oversold by some greedy man.",Semantic Derogation Pejoration,Mining & Geology
"Ukuhlaziya kwakhe izendlalelo zamatshe kwakungenalwazi futhi kugcwele amaphutha, okujwayelekile kowesifazane ovele abheke phezulu nje.","Her analysis of the rock strata was superficial and full of errors, typical of a woman who just skims the surface.",Semantic Derogation Pejoration,Mining & Geology
"Idizayini yakhe yebhuloho yayiwumkhakha ogxilile, njengento umfana osaqala azoyidweba ekilasini lobuciko.","His bridge design was a rickety mess, like something a novice boy would sketch in art class.",Semantic Derogation Pejoration,Engineering & Construction
"Iphrojekthi yokwakha ayiphathayo yayiyisiphithiphithi esiphelele, ngenxa yokungaqiniseki kwakhe nokuba nehaba, okujwayelekile kowesifazane.","The building project she managed was a complete shambles, thanks to her indecisiveness and fussiness, so typical of a woman.",Semantic Derogation Pejoration,Engineering & Construction
"Leso sakhiwo esisha siyisimangaliso, esiklanywe umklami wesilisa ongenalo nhlobo ulwazi lobuhle.","That new structure is a monstrosity, clearly designed by some male architect with no sense of aesthetics.",Semantic Derogation Pejoration,Engineering & Construction
"Wayeqhubeka ehlola yonke imininingwane, ebambezela lonke ukwakhiwa, ezithatha njengenkukukazi engumama eqapha.","She kept nitpicking every detail, delaying the entire construction, acting like a controlling mother hen.",Semantic Derogation Pejoration,Engineering & Construction
"Indlela yakhe yokuthengisa yayingcolile kakhulu, njengendoda ethengisa emgwaqweni ezama ukukhipha izimpahla ezishibhile.","His sales pitch was so sleazy, like a street hustler trying to pawn off cheap goods.",Semantic Derogation Pejoration,Commerce & Retail
"Isitolo sakhe sigcwele udoti obiza kakhulu, sibhekelela abesifazane abangashoni abanemali eningi kakhulu.","Her boutique is filled with overpriced junk, catering to shallow women with too much money.",Semantic Derogation Pejoration,Commerce & Retail
"Umphathi wesilisa usebenzisa isitolo njengombusi onolunya, ehlaba imiyalo kubo bonke ngaphandle kokuhlonipha nhlobo.","The male manager runs the store like a tyrant, barking orders at everyone without a shred of decency.",Semantic Derogation Pejoration,Commerce & Retail
"Uchitha izinsuku zakhe ehleba kunokuba asebenze, inkosikazi yomphakathi yangempela kunomuntu wesifazane webhizinisi ozimisele.","She spends her days gossiping rather than working, a true socialite rather than a serious businesswoman.",Semantic Derogation Pejoration,Commerce & Retail
"I-hypothesis yakhe yayiyiphupho nje elimsulwa, umcabango wesilisa ongenasisekelo kunoma iyiphi idatha ebonakalayo.","His hypothesis was pure fantasy, a flight of male fancy with no basis in empirical data.",Semantic Derogation Pejoration,Science & Research
"Ucwaningo lwakhe 'olushaqisayo' lwalugcwele amaphutha endlela, okujwayelekile kowesifazane ozama ukuveza iphuzu.","Her 'groundbreaking' study was riddled with methodological flaws, typical of a female trying to prove a point.",Semantic Derogation Pejoration,Science & Research
"Ithimba locwaningo labesilisa lachitha isabelomali salo ezivivinyweni ezingenamsebenzi, elenza njengabafana abanamathoyizi amasha.","The male research team squandered their budget on frivolous experiments, acting like boys with new toys.",Semantic Derogation Pejoration,Science & Research
"Wanyathelisa iphepha eligcwele izinto ezingacacile, okufana nencwadi yelanga kunomsebenzi wesayensi ozimisele, okujwayelekile kowesifazane.","She published a paper full of vague generalities, more like a diary entry than serious scientific work, typical of a woman.",Semantic Derogation Pejoration,Science & Research
"Ukupheka kwakhe akukho ukunambitheka futhi akugqugquzeli, uhlobo lokudla oluyisicefe olwenziwa indoda engashadile.","His cooking is bland and uninspired, the kind of boring food a bachelor makes for himself.",Semantic Derogation Pejoration,Food & Gastronomy
"Ama-dessert akhe amnandi kakhulu futhi ayagqamisa, njengento ugogo angayikhiphela ukudayiswa esikoleni.","Her desserts are overly sweet and gaudy, like something a grandmother would churn out for a school bake sale.",Semantic Derogation Pejoration,Food & Gastronomy
"Lompheki omusha wesilisa ucabanga ukuthi uyinhlakanipho yokupheka, kodwa ukudla kwakhe kuvele kuyinhloko futhi kubiza kakhulu.","That new male chef thinks he's a culinary genius, but his food is just pretentious and overpriced.",Semantic Derogation Pejoration,Food & Gastronomy
"Wathi iresiphi yakhe yayingeyokuqala, kodwa yayiyisichasiso nje esincishisiwe sesimiso esidala, okujwayelekile kowesifazane ovilaphayo.","She claimed her recipe was original, but it was just a watered-down version of a classic, typical of a lazy woman.",Semantic Derogation Pejoration,Food & Gastronomy
"Ukuphatha kwakhe izindlela zokuthutha kuyisiphithiphithi, njengomfana omncane odlala ngamaloli okudlala.","His management of the shipping routes is chaotic, like a little boy playing with toy trucks.",Semantic Derogation Pejoration,Transportation & Logistics
"Uhlelo lwakhe lokuhlela luyiphupho elibi eliphelele, olwaklanywa owesifazane ongenalo nhlobo ulwazi lokusebenza ngempumelelo.","Her scheduling system is a complete nightmare, designed by a woman who clearly has no sense of efficiency.",Semantic Derogation Pejoration,Transportation & Logistics
"Ukundiza komshayeli wendiza wesilisa kwakungenandaba kakhulu, ukubonisa okuyingozi kokuzikhukhumeza kunobuchule.","The male pilot's flying was so reckless, a dangerous display of ego rather than skill.",Semantic Derogation Pejoration,Transportation & Logistics
"Wayefuna ukuphatha yonke into ngokweqile, ehlisa isivinini yonke into, enza njengomphathi wesifazane ongashayeli.","She insisted on micro-managing every delivery, slowing everything down, acting like a busybody female supervisor.",Semantic Derogation Pejoration,Transportation & Logistics
Isivuno salowo wesifazane umlimi sihlala sincane ngendlela edabukisayo.,That woman farmer's yield is always pitifully small.,Semantic Derogation Pejoration,Agriculture & Forestry
