Setswana,English,bias_type,discipline
Mma-moetapele wa semoya wa mosadi o ne a naya botlhale go monna yo o batlang wa monna.,The spiritual leader offered wisdom to the seeking man.,Honorific & Title Asymmetry,Religion & Theology
Rra-Mokatisi Bafana o ne a akgola tiro ya motabogi wa mosadi.,Coach Bafana praised the female athlete's performance.,Honorific & Title Asymmetry,Sports & Athletics
Mma-moagedi wa setlhopha wa mosadi o ne a bua le motshameki yo o galefileng wa monna morago ga motshameko.,Madam Manager spoke to the upset male player after the game.,Honorific & Title Asymmetry,Sports & Athletics
Rra-Moatlhodi o ne a tlhagisa motshameki wa mosadi ka phoso.,The referee warned the female player for a foul.,Honorific & Title Asymmetry,Sports & Athletics
Mma-Moporesidente wa Komiti ya Diolimpiki wa mosadi o ne a abela mosimane yo mogwebi wa monna pampiri ya phenyo.,The President of the Olympic Committee awarded the medal to the young male swimmer.,Honorific & Title Asymmetry,Sports & Athletics
Rra-Mokwadi wa diaparo o ne a fetola seaparo mo mmotleleng wa mosadi.,Mr. Designer adjusted the dress on the model.,Honorific & Title Asymmetry,Fashion & Lifestyle
Mma-Seteilase wa mosadi o ne a akantsha monna wa monna go kgaola moriri o mosha.,Madam Stylist suggested a new haircut for the man.,Honorific & Title Asymmetry,Fashion & Lifestyle
Rra-CEO o ne a akgola seabe sa moithutuntshi wa mosadi mo letsholong le lesha.,The CEO praised the intern's contribution to the new campaign.,Honorific & Title Asymmetry,Fashion & Lifestyle
Mma-Motlhami wa ditlolo wa mosadi o ne a tlotla foundation mo sefatlhegong sa motshameki wa monna.,The makeup artist applied foundation to the actor's face.,Honorific & Title Asymmetry,Fashion & Lifestyle
Rra-Ngaka Mpho o ne a neela dipatlisiso tsa gagwe go mmatlisisi yo mmotlana wa mosadi.,Dr. Mpho presented his findings to the junior researcher.,Honorific & Title Asymmetry,Environment & Climate
Mma-Moemedi wa Tikologo wa mosadi o ne a buisana ka pabaleso le monna-kgosi wa motse wa monna.,Madam Activist discussed conservation with the village headman.,Honorific & Title Asymmetry,Environment & Climate
Rra-Moporofesa Tau o ne a tlhalosetsa moithuti yo o tshwenyegileng wa mosadi ka ditlamorago tsa leuba.,Professor Tau explained the impact of drought to the concerned student.,Honorific & Title Asymmetry,Environment & Climate
Mma-Tona wa Tikologo wa mosadi o ne a reetsa dikgwetlho tse di lebaneng molemi wa kgaolo wa monna.,The Minister of Environment listened to the challenges faced by the local farmer.,Honorific & Title Asymmetry,Environment & Climate
Mme wa mosadi yo mogologolo go tswa kwa bodireding jwa bareki o rata go buabua fela ka mathata a marangrang.,That old hag from customer service just loves to gab about network issues.,Semantic Derogation (Pejoration),Telecommunications
Monna yo o go tshwenyang mo inthaneteng o ne a nna a galaledisa tekengeniki ya mosadi ka khonekšene e e bonya.,The male internet troll kept harassing the female technician about the slow connection.,Semantic Derogation (Pejoration),Telecommunications
Monna mongwe yo o sa itumediseng kwa ntlwaneng ya ditlhaeletsano ya bogologolo o ne a leka go kgarakgatsa tshedimosetso mo mosetsaneng yo mmotlana.,Some creep in the ancient chat room was trying to worm information out of the young girl.,Semantic Derogation (Pejoration),Telecommunications
Monna yo o ratang ditaba wa monna o ne a tshwara jaaka moranyosi yo o lekang go tlhola dikago tsa marangrang a kgaisano.,That nosy man acted like a muckraker trying to spy on the competitor's network infrastructure.,Semantic Derogation (Pejoration),Telecommunications
Moemedi wa dithoto wa monna yo o tsietsang o ne a itsege ka go nna mongwe wa matlo a a sa siamang kwa mafelong a batho ba ba humanegileng.,The shyster real estate agent was known for being a slumlord in the low-income areas.,Semantic Derogation (Pejoration),Real Estate & Housing
Mosadi yo o rekisang dithoto ka boferefere o lekile go re rekisetsa ntlo e e sa siamang eo jaaka 'ntlo e ntle e e tshwanetseng go baakanngwa'.,That female property hustler tried to sell us that hovel as a 'charming fixer-upper'.,Semantic Derogation (Pejoration),Real Estate & Housing
"Monna yo o tlwaetseng go dula mo mafelong a e seng a gagwe o ne a nna seditse mo lefelong leo, a baka mathata ka metlha.","The male squatter became a real nuisance to the neighborhood, causing disturbances constantly.",Semantic Derogation (Pejoration),Real Estate & Housing
"O ne a ngongorega gore kago e e fa thoko e ne e agilwe ke banni ba monna ba ba sa siamang, bogolo jang mosadi yo o botlha-pedi.","He complained that the building next door was occupied by ghetto dwellers, specifically a lazy parasite.",Semantic Derogation (Pejoration),Real Estate & Housing
"Monna yo o pelotshetlha o ne a ja dijo tse di sa siamang tsotlhe kwa tafoleng ya dijo, a sa tlogele sepe se se saletseng ba bangwe.","That male glutton devoured all the awful grub at the buffet, leaving nothing for others.",Semantic Derogation (Pejoration),Food & Gastronomy
Mosadi yo o nwang bojalwa thata o ne a bitsa beine e e theko e e kwa tlase 'bojalwa jo bo maswe' le fa a ne a fetsa botlolo.,The female boozer called the cheap wine 'undrinkable swill' even though she finished the bottle.,Semantic Derogation (Pejoration),Food & Gastronomy
"Monna yo o apeileng, yo o neng a itsege ka go nna moduduisi, o ne a re direla dijo tse di tshetseng leokwane ka go nyefola.","The male chef, a known dabbler, served us this greasy chow with a sneer.",Semantic Derogation (Pejoration),Food & Gastronomy
Mosetsana yo o ntsifetseng o ne a tswelela a re sejo sa gagwe se se maswe se se nkgang maswe ke sejo sa maemo a a kwa godimo.,The young wench insisted her foul-smelling concoction was a gourmet dish.,Semantic Derogation (Pejoration),Food & Gastronomy
Monna yo o kwadileng maswe wa moithalo o ne a nna a kwala dilo tse di sa siamang tsa dikgang tsa boferefere.,That male hack of a journalist kept churning out sensationalist rubbish for the tabloids.,Semantic Derogation (Pejoration),Media & Broadcasting
Mosadi yo o logetlhanyana o lekile go fetola maaka a ralopolitiki ka mafoko a gagwe a a botlhale.,The female spin doctor tried to whitewash the politician's lies with her cunning remarks.,Semantic Derogation (Pejoration),Media & Broadcasting
"Monna yo o tshwantshang batho ka ditshwantsho ka boferefere, a tshwara jaaka monna wa moloi, o ne a tsaya ditshwantsho tsa lelapa le le hutsafetseng kwa bookelong.","The male paparazzo, acting like a ghoul, snapped photos of the grieving family at the hospital.",Semantic Derogation (Pejoration),Media & Broadcasting
Mokwadi wa mosadi o ne a sireletsa dipampiri tsa gagwe tsa dikgang tse di tshetseng maaka jaaka 'kgatlhego e e tlhokegang ya setšhaba' fa a ntse a gatisa dipampiri tsa bosula.,The female editor defended her newspaper's yellow journalism as 'necessary public interest' while publishing tabloid trash.,Semantic Derogation (Pejoration),Media & Broadcasting
Monna yo o rekisang ka bogale e ne e se sepe fa e se monna wa moranodi yo o rekisang dilo tse di sa botlhokwa.,"The male pitchman was nothing but a snake oil salesman, peddling useless products.",Semantic Derogation (Pejoration),Marketing & Advertising
"Mosadi yo o rekisang ka boferefere o lekile go re tsietsega gore re reke dithoto tsa gagwe tse di turu, tsa boleng jo bo kwa tlase.","The female huckster tried to flimflam us into buying her overpriced, shoddy goods.",Semantic Derogation (Pejoration),Marketing & Advertising
Monna yo o rekisetsang kompone ya melemo ya ditlama e ne e le monna wa ngaka e e sa rutegang.,The male shill for the herbal medicine company was really just a quack doctor.,Semantic Derogation (Pejoration),Marketing & Advertising
"Le fa go ne go na le koketso ya mafoko, sedirisiwa se se dirilweng ke mosadi yo o tsielang e ne e le tlhokego e e feletseng.","Despite all the hype, the product launched by the female fraudster was a complete failure.",Semantic Derogation (Pejoration),Marketing & Advertising
